input,output,se_order
kamarnya bersih dan nyaman . homey .| aspek : <extra_id_0>,<extra_id_0> kamarnya,a
"2 . saluran air kamar mandi sering tersumbat , saya mandi sampai banjir meluap keluar pintu airnya !| aspek : <extra_id_0>",<extra_id_0> saluran air kamar mandi,a
"kamar tidak standar airy .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative,as
"harga dengan fasilitas yang disedikan sangat tidak sesuai . ketika check - in handuk tidak ada harus diminta dulu baru ada . dan kebersihan sungguh jauh dari kata bersih untuk standar hotel . banyak sekali debu apalagi ketika buka gorden terlihat debu yang sepertinya sudah berbulan - bulan tidak dibersihkan . kamar mandi berbau tidak sedap .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> sangat tidak sesuai <extra_id_2> negative ; <extra_id_3> fasilitas <extra_id_4> sangat tidak sesuai <extra_id_5> negative ; <extra_id_6> handuk <extra_id_7> tidak ada <extra_id_8> negative ; <extra_id_9> kebersihan <extra_id_10> sungguh jauh dari kata bersih <extra_id_11> negative ; <extra_id_12> kamar mandi <extra_id_13> berbau tidak sedap <extra_id_14> negative,aos
"pelayanan ramah , tetapi toilet ketika awal masuk ada bau kurang enak . kamar kurang luas dan tidak ada hiasan dinding / motif seperti di gambar promo nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> ramah ; <extra_id_2> toilet <extra_id_3> bau kurang enak ; <extra_id_4> kamar <extra_id_5> kurang luas,ao
"pelayanan sangat ramah , tetapi menu sarapan paginya kurang variasi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> menu sarapan paginya <extra_id_3> negative,as
"kamarnya nyaman , fasilitas oke , recommended banget deh . terutama buat para traveller seperti kami . dengan adanya airy room semakin mudah , tidak perlu repot cari penginapan atw hotel . next time , kami pesan lagi .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> oke ; <extra_id_2> recommended banget,o
"tenang , nyaman , tetapi tv error .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tv <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as
selimut/sprey kurang bersih .| opini : <extra_id_0>,<extra_id_0> kurang bersih,o
"check in ktp di minta , check out petugas lupa tidak memberikan ktp saya , padahal saya dari luar kota transit ke semarang dan saya tidak di hubungi terkait ini sampai saya caricari nomor telpun hotel , ketika di telpun juga tidak bahkan minta maaf bahkan lempar lemparan tanggung jawab .| aspek : <extra_id_0>",NULL,a
"untuk pelayanan dan kamar sangat nyaman meskipun agak sedikit berisik di malam hari karena suara mus .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> sangat nyaman <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> sangat nyaman <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> agak sedikit berisik <extra_id_8> negative,aos
"free snack + sabun / sampo airy tidak ada . ac nya juga bocor air nya keluar di dalam ruangan . semoga di perbaiki tempat dan kinerjanya dimana hak buat konsumen .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> free snack <extra_id_1> tidak ada <extra_id_2> negative ; <extra_id_3> sabun <extra_id_4> tidak ada <extra_id_5> negative ; <extra_id_6> sampo airy <extra_id_7> tidak ada <extra_id_8> negative ; <extra_id_9> ac nya <extra_id_10> bocor <extra_id_11> negative,aos
pelayanannya cepat . saya pas kesitu lagi ada renovasi .| aspek : <extra_id_0>,<extra_id_0> pelayanannya,a
"hanya wifi yang kurang memuaskan , wifi tidak bisa dipakai , selebihnya tidak masalah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> wifi <extra_id_1> kurang memuaskan ; <extra_id_2> wifi <extra_id_3> tidak bisa dipakai ; <extra_id_4> selebihnya <extra_id_5> tidak masalah,ao
pelayanan kamar perlu di tingkatkan .| aspek : <extra_id_0>,<extra_id_0> pelayanan kamar,a
"saya kecewa ketika saya menginap tidak ada di sediakan air minum , kamarnya bersemut , dan obat sikat gigi nya keras .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> air minum <extra_id_1> tidak ada di sediakan ; <extra_id_2> kamarnya <extra_id_3> bersemut ; <extra_id_4> obat sikat gigi nya <extra_id_5> keras ; <extra_id_6> NULL <extra_id_7> kecewa,ao
"tempat yang bagus untuk harga yang terjangkau .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive ; <extra_id_2> harga <extra_id_3> positive,as
"kurang memuaskan , biasa saja , bau , kotor handuknya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> handuknya <extra_id_1> kotor ; <extra_id_2> NULL <extra_id_3> kurang memuaskan ; <extra_id_4> NULL <extra_id_5> biasa ; <extra_id_6> NULL <extra_id_7> bau,ao
pelayanan yang sangat mengecewakan .| opini : <extra_id_0>,<extra_id_0> sangat mengecewakan,o
"tidak sesuai yang ada di gambar .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> tidak sesuai <extra_id_2> negative,aos
"pelayanan sudah baik , tetapi lebih ditingkat lagi agar menjadi yang terbaik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> baik <extra_id_2> positive,aos
"koneksi wifi sangat bagus . akan tetapi , air panas tidak berfungsi .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> koneksi wifi <extra_id_1> sangat bagus ; <extra_id_2> air panas <extra_id_3> tidak berfungsi,ao
"kamar sudah cukup bagus dan luas . ac cukup lama baru dingin dan air kamar mandi agak bau ketika dibuka pertama kali .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> cukup bagus ; <extra_id_2> kamar <extra_id_3> luas ; <extra_id_4> ac <extra_id_5> cukup lama baru dingin ; <extra_id_6> air kamar mandi <extra_id_7> agak bau,ao
"pelayanan kamar perlu di tingkatkan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan kamar <extra_id_1> perlu di tingkatkan,ao
"lumayan disediakan air mineral , snack dan sikat gigi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air mineral <extra_id_1> positive ; <extra_id_2> snack <extra_id_3> positive ; <extra_id_4> sikat gigi <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> positive,as
"kamarnya nyaman dan termasuk murah hanya saja setiap malam selalu ribut selebihnya okeh .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> selebihnya <extra_id_3> positive,as
"bagus , murah , nyaman untuk transit .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"pelayanan sangat memuaskan , perbaiki ac karena tidak bisa diatur suhunya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive ; <extra_id_2> ac <extra_id_3> negative,as
"untuk traveler yang kalau budget ini pas banget tmptnya karena sangat nyaman , bersih , dan enak cuma kurang air panas saja tidak nyala selebihnya mantap pelayanannya juga oke dan 24jam .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tmptnya <extra_id_1> positive ; <extra_id_2> air panas <extra_id_3> negative ; <extra_id_4> selebihnya <extra_id_5> positive ; <extra_id_6> pelayanannya <extra_id_7> positive,as
"tempat bersih nyaman , pegawainya ramah semua .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> tempat <extra_id_4> nyaman <extra_id_5> positive ; <extra_id_6> pegawainya <extra_id_7> ramah <extra_id_8> positive,aos
"kmi sangat puass dan tidak menyesal , sesuai dengan ekspetasi yang kmi harapkan .| opini : <extra_id_0>",<extra_id_0> sangat puass ; <extra_id_1> tidak menyesal,o
harga yang ekonomis namun kualitas cukup baik !| opini : <extra_id_0>,<extra_id_0> ekonomis ; <extra_id_1> cukup baik,o
"harga yang amazing untuk inap yang nyaman , strategis dan ramah . kalau ada acara dipekanbaru lagi insyaallah inap disini lagi cuma pintu kamar mandi tidak bisa ditutup rapat dan kalau terlambat sarapan tidak kebagian makanan he pengalaman yang buat laper .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> harga <extra_id_1> amazing ; <extra_id_2> inap <extra_id_3> nyaman ; <extra_id_4> inap <extra_id_5> strategis ; <extra_id_6> inap <extra_id_7> ramah ; <extra_id_8> pintu kamar mandi <extra_id_9> tidak bisa ditutup rapat ; <extra_id_10> sarapan <extra_id_11> tidak kebagian,ao
"kamar bersih kamar mandi bersih , semuanya oke .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> kamar mandi ; <extra_id_2> semuanya,a
"kali ini dapat ruangan yang tidak sesuai gambar . sedikit kecewa .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ruangan <extra_id_1> tidak sesuai gambar ; <extra_id_2> NULL <extra_id_3> sedikit kecewa,ao
"pelayanannya sangat kurang . harusnya bisa check in jam 14.00 bahkan check in jam 16.30 kamarnya masih belum dirapikan . untuk fasilitas kolam renang airnya kurang terawat . pesan 2 kamar sampai tempat dapat 1 kamar , dan yang 1 kamarnya dikasih dekat pintu gerbang dan kayaknya dekat sepitank . karena bau banget . untung cuma 1 hari .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanannya <extra_id_1> negative ; <extra_id_2> kolam renang airnya <extra_id_3> negative,as
"kamar bersih dengan udara terbuka , air panas jalan , tidak ada ac tetapi sudah dingin dengan udars lembang . over all bagus sekali .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> air panas ; <extra_id_2> ac ; <extra_id_3> over all,a
"harga sangat terjangkau dan fasilitas yang di dapat juga baik . sebanding dengan harganya . terima kasih , d'amancu !| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> positive ; <extra_id_2> fasilitas <extra_id_3> positive,as
kamar kotor . tidak ada perlengkapan snack dan mandi dari airy .| aspek : <extra_id_0>,<extra_id_0> kamar ; <extra_id_1> perlengkapan snack dan mandi,a
"transit semalam di mataram menginap disini sangat nya .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"check in cepat , petugas terutama masmasnya ( lupa tidak bertanya nama ) baik dan ramah banget , kamarnya bersih rapi nyaman , ac dingin , dapat complimentary drink dan snack , lokasi mudah diakses . recommended pokoknya . terima kasih airyrooms dan crew penginapan dempo !| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> check in <extra_id_1> cepat ; <extra_id_2> petugas <extra_id_3> baik ; <extra_id_4> petugas <extra_id_5> ramah banget ; <extra_id_6> kamarnya <extra_id_7> bersih ; <extra_id_8> kamarnya <extra_id_9> rapi ; <extra_id_10> kamarnya <extra_id_11> nyaman ; <extra_id_12> ac <extra_id_13> dingin ; <extra_id_14> complimentary drink <extra_id_15> dapat ; <extra_id_16> snack <extra_id_17> dapat ; <extra_id_18> lokasi <extra_id_19> mudah diakses ; <extra_id_20> NULL <extra_id_21> recommended,ao
"alhamdulillah . baik dan pas buat keluarga kecil .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"kamar langsung dibersihkan begitu diminta .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
sayang wifi tidak bagus harus keluar kamar .| opini : <extra_id_0>,<extra_id_0> tidak bagus,o
"sesuai untuk menginap budget terbatas tetapi tempat nyaman dan bersih . jika kemedan saya akan menginap disini lagi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat <extra_id_1> positive,as
"kolam iya saja yang lumayan recomemded .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kolam <extra_id_1> lumayan recomemded <extra_id_2> positive,aos
"dpet kamar yang kurang menarik . semoga next dapat kamar yang seperti dgmbar .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative,as
nyaman . hampir sempurna .| opini : <extra_id_0>,<extra_id_0> nyaman ; <extra_id_1> hampir sempurna,o
"kamar sie oke . , tetapi tidak ada air panas , toilet nya tidak ada tutup nya .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> air panas ; <extra_id_2> toilet nya,a
"kamar hotel luas , no breakfast , no wifi , staf tidak ramah cenderung galak mungkin karena tamu sedikit dan gaji kecil , not recommeded , tidak bakal balik lagi , kamar mandi kecil dan dipisah dengan toilet . aneh .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar hotel <extra_id_1> luas ; <extra_id_2> breakfast <extra_id_3> no ; <extra_id_4> wifi <extra_id_5> no ; <extra_id_6> staf <extra_id_7> tidak ramah ; <extra_id_8> staf <extra_id_9> galak ; <extra_id_10> kamar mandi <extra_id_11> kecil ; <extra_id_12> NULL <extra_id_13> not recommeded,ao
"good . ada snack di setiap kamar . cuma sayang ketika dapat kamar 305 ac nya tidak dingin sama sekali . selebihnya keren . langganan disini .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> snack <extra_id_1> ada ; <extra_id_2> ac nya <extra_id_3> tidak dingin ; <extra_id_4> selebihnya <extra_id_5> keren ; <extra_id_6> NULL <extra_id_7> good,ao
"tidak disediakan tisu : ( .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tisu <extra_id_1> tidak disediakan ; <extra_id_2> tisu <extra_id_3> : (,ao
"sudah 2x ini inap di airy tetapi tidak pernah dapat bingkisan kotak biru dari airy ( complimentery ) padahal baca review temanteman sering pada dapat . waktu bertanya dari pihak hotel katanya dari airy tidak pernah kirim lagi , ty ke customer pelayanan airy di jawab airy tidak ada gitugituan , dan percakapan langsung di hentikan oleh customer pelayanan ats nama koko .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
kemarin saya kena biaya untuk parkir .| aspek : <extra_id_0>,NULL,a
"kamar tidak bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative,as
dekat dengan malioboro . kamar bersih tetapi kecil banget .| aspek : <extra_id_0>,<extra_id_0> kamar,a
"dekat dengan metro , cocok buat pedagang yang mau belanja ke tanah abang , bersih , menurut saya sih semua oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> semua <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> bersih <extra_id_5> positive,aos
"pintu kamar mandinya tidak bisa ditutup , tv - nya tidak ada remote - nya dan tidak ada handuknya di perlengkapan mandinya .| opini : <extra_id_0>",<extra_id_0> tidak bisa ditutup ; <extra_id_1> tidak ada ; <extra_id_2> tidak ada,o
"kurang ramah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> kurang ramah,ao
"tempat parkir sedikit dirapikan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat parkir <extra_id_1> negative,as
"lumayan oke , ac snack tv perlengkapan mandi ada .| opini : <extra_id_0>",<extra_id_0> ada ; <extra_id_1> lumayan oke,o
"cukup baik , dekat dengan supermall karawaci , kamar bersih , ada ac , tv , dan air panas nya juga .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> ada ; <extra_id_2> cukup baik,o
"sangat puas menginap disini .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
nyaman sih tetapi toilet kurang bersih saja .| opini : <extra_id_0>,<extra_id_0> kurang bersih ; <extra_id_1> nyaman,o
"kamarnya kurang bersih , seprai kotor , handuk sudah tidak layak pakai .| opini : <extra_id_0>",<extra_id_0> kurang bersih ; <extra_id_1> kotor ; <extra_id_2> tidak layak pakai,o
"lumayan untuk harga diskon . ac , tv , westafel semua baik . cuma kmrrn habis ada wedding party , belum selesai , jadi sampah nya bau .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> baik <extra_id_2> positive ; <extra_id_3> tv <extra_id_4> baik <extra_id_5> positive ; <extra_id_6> westafel <extra_id_7> baik <extra_id_8> positive,aos
"semuanya oke . tetapi disini kamar mandinya gagang pintunya agak rusak he itu saja kok selebihnya bagus .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semuanya <extra_id_1> oke ; <extra_id_2> kamar mandinya gagang pintunya <extra_id_3> agak rusak ; <extra_id_4> selebihnya <extra_id_5> bagus,ao
kebersihan dan alat elektronik dipermantap .| aspek : <extra_id_0>,<extra_id_0> kebersihan ; <extra_id_1> alat elektronik,a
"bagus . nyaman . bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"tempatnya bersih , rapi , cari makananya gampang , dekat asemka dan kota tua .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempatnya <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> tempatnya <extra_id_4> rapi <extra_id_5> positive,aos
"sarapannya lumayan . walopun porsinya minimalis .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sarapannya <extra_id_1> lumayan <extra_id_2> positive ; <extra_id_3> porsinya <extra_id_4> minimalis <extra_id_5> negative,aos
terima kasih telah membantu says menemukan penginapan yang nyaman seperti airyroom . hanya saja saya salah memilih airyroom untuk menginap di jakarta selatan .| aspek : <extra_id_0>,NULL,a
"air dikamar mati , mandi dikamar lain . petugas malam kurang ramah dan tidak ringan tangan .| opini : <extra_id_0>",<extra_id_0> mati ; <extra_id_1> kurang ramah ; <extra_id_2> tidak ringan tangan,o
"lebih dari cukup untuk di kelasnya .| aspek : <extra_id_0> ,opini : <extra_id_1>",NULL,ao
"bagus banget . memuaskan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"ac nya kurang dingin bahkan cenderung panas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ac nya <extra_id_1> negative,as
hotel lumayan bersih dan dekat dengan ciwalk .| opini : <extra_id_0>,<extra_id_0> lumayan bersih,o
nyaman dan menyenangkan .| opini : <extra_id_0>,<extra_id_0> nyaman ; <extra_id_1> menyenangkan,o
"lokasinya agak susah masukmasuk perumahan . tetapi overall oke lah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> lokasinya <extra_id_1> agak susah <extra_id_2> negative ; <extra_id_3> overall <extra_id_4> oke <extra_id_5> positive,aos
"hotelnya sangat iconic , ada kolam renang juga . kamar luas dan lokasi sangat mudah ditemukan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> sangat iconic ; <extra_id_2> kolam renang <extra_id_3> ada ; <extra_id_4> kamar <extra_id_5> luas ; <extra_id_6> lokasi <extra_id_7> sangat mudah ditemukan,ao
"kamar standar dan kecil , parkir mobil juga agak susah .| opini : <extra_id_0>",<extra_id_0> standar ; <extra_id_1> kecil ; <extra_id_2> agak susah,o
pelayanan yang sangat baik kamar sesuai .| aspek : <extra_id_0>,<extra_id_0> pelayanan ; <extra_id_1> kamar,a
"kamar yang dikasih terlalu jauh , jadi lelah turun naik tangga . harga cucokk mehong kok .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> jauh ; <extra_id_2> harga <extra_id_3> cucokk,ao
harga aman kamar nyaman pelayanan memuaskan .| aspek : <extra_id_0>,<extra_id_0> harga ; <extra_id_1> kamar ; <extra_id_2> pelayanan,a
"tempat strategis dan sangat nyaman membuat liburan di jogja menjadi menyenangkan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempat <extra_id_1> strategis ; <extra_id_2> tempat <extra_id_3> sangat nyaman,ao
"bersih dan sepi hening . cocok untuk istirahat .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> bersih <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> sepi hening <extra_id_5> positive,aos
"sangat merekomendasikan , tempatnya memuaskan .| opini : <extra_id_0>",<extra_id_0> memuaskan ; <extra_id_1> sangat merekomendasikan,o
"cukup bersih . kondisi keran kamar mandi saya yang harus diperbaiki . susah bukanya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> keran kamar mandi <extra_id_1> harus diperbaiki <extra_id_2> negative ; <extra_id_3> keran kamar mandi <extra_id_4> susah bukanya <extra_id_5> negative ; <extra_id_6> NULL <extra_id_7> cukup bersih <extra_id_8> positive,aos
"murahh tetapi pelayanan selalu oke . airy seringsering kasi kupon diskon iya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> selalu oke <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> murahh <extra_id_5> positive,aos
"saya sangat puas . kamar rapi dan bersih . staf sangat ramah dan helpful . kamar saya dilantai 3 dan tidak ada lift tetapi staf siap membantu . dekat dengan tempat makan , bakery , dan minimarket . sangat rekomended .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> staf ; <extra_id_2> lift ; <extra_id_3> staf ; <extra_id_4> NULL,a
"sandal pun takdee . tolong di perhatikan lagi knyamanan pengunjung .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sandal <extra_id_1> takdee <extra_id_2> negative,aos
"note : ( untuk hotel ) kamar mandi dari bawah pinggiran kloset suka keluar cacing kecil hitam hilang jika disiram air panas harap di perhatikan thank you .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar mandi <extra_id_1> keluar cacing kecil hitam <extra_id_2> negative ; <extra_id_3> pinggiran kloset <extra_id_4> keluar cacing kecil hitam <extra_id_5> negative,aos
"tempat bersih , pelayanan bagus .| aspek : <extra_id_0>",<extra_id_0> tempat ; <extra_id_1> pelayanan,a
airnya berbau .| aspek : <extra_id_0>,<extra_id_0> airnya,a
"nyaman , tempat nya bersih , pegawai nya ramahramah . insyaallah saya akan datang kembali , sukses selalu , .| opini : <extra_id_0>",<extra_id_0> bersih ; <extra_id_1> ramahramah ; <extra_id_2> nyaman,o
"pelayanan sesuai dengan harga .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> sesuai,ao
"satpamnya ramah dan sigap , wifinya kencang , selain snack airy set ada tambahan coklat silverqueen . tetapi resepsionis tidak ramah , payah banget seperti keteteran begitu , kerjanya super manual , dan penampilannya seperti emak - emak habis selesaikan rumah seharian .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> satpamnya <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> satpamnya <extra_id_4> sigap <extra_id_5> positive ; <extra_id_6> wifinya <extra_id_7> kencang <extra_id_8> positive ; <extra_id_9> resepsionis <extra_id_10> tidak ramah <extra_id_11> negative,aos
"overall sangat memuaskan . ini kedua kalinya saya menginap di sini . tidak pernah kecewa .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> overall <extra_id_1> sangat memuaskan ; <extra_id_2> overall <extra_id_3> tidak pernah kecewa,ao
"kamarnya nyaman . tetapi tidak ada jendela .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> nyaman <extra_id_2> positive ; <extra_id_3> jendela <extra_id_4> tidak ada <extra_id_5> negative,aos
"kamar luas , saya menginap 3 malam setiap hari diberi toiletries , snack dan air mineral .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> toiletries ; <extra_id_2> snack ; <extra_id_3> air mineral,a
"lumayan buat backpakeran seperti kita , harga terjangkau dan dekat dari pusatpusat perbelanjaan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> harga <extra_id_1> terjangkau ; <extra_id_2> NULL <extra_id_3> lumayan,ao
nyaman cuma kamar mandii bauu .| opini : <extra_id_0>,<extra_id_0> bauu ; <extra_id_1> nyaman,o
"nyaman tempat nya : ) .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat nya <extra_id_1> nyaman <extra_id_2> positive,aos
"baik sarapan ada kue kadang nasi kuning bagus pemilik sering kunjung untuk kontrol .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> baik,ao
"hotelnya mewah dan bersih , makanannya enak , akses kelokasi perbelanjaan dan hiburan sangat mudah . catatan : harus menunggu beberapa saat untuk check in karena kamarnya belum disiapkan .| opini : <extra_id_0>",<extra_id_0> mewah ; <extra_id_1> bersih ; <extra_id_2> enak ; <extra_id_3> sangat mudah,o
"tempat bagus dan besar tetapi kebersihan kurang karena banyak rambut di bantal .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> bagus <extra_id_2> positive ; <extra_id_3> tempat <extra_id_4> besar <extra_id_5> positive ; <extra_id_6> kebersihan <extra_id_7> kurang <extra_id_8> negative,aos
"posisi strategis . kebersihan baik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> posisi <extra_id_1> strategis <extra_id_2> positive ; <extra_id_3> kebersihan <extra_id_4> baik <extra_id_5> positive,aos
"enak siih tetapi kulkasnya mati , banyak nyamuk .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kulkasnya <extra_id_1> mati ; <extra_id_2> NULL <extra_id_3> enak ; <extra_id_4> NULL <extra_id_5> banyak nyamuk,ao
lanjutkan servis yang baik ini .| aspek : <extra_id_0>,<extra_id_0> servis,a
"kamarnya oke . sarapannya kurang baik :"" ( .| aspek : <extra_id_0>",<extra_id_0> kamarnya ; <extra_id_1> sarapannya,a
"proses check in dan check out cepat . penjaganya ramah . lokasi strategis , banyak jajanan diluar komplek . dekat dengan pusat hiburan bsd .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> proses check in <extra_id_1> positive ; <extra_id_2> check out <extra_id_3> positive ; <extra_id_4> penjaganya <extra_id_5> positive ; <extra_id_6> lokasi <extra_id_7> positive,as
"dari jam 01.00 sampai jam 05.30 wita kamar gelap , panas , banyak nyamuk karena mati lampu .| aspek : <extra_id_0>",<extra_id_0> kamar,a
"kamar nyaman . ac dingin pilihan tepat untuk beristirahat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> nyaman ; <extra_id_2> ac <extra_id_3> dingin,ao
"fasilitas lengkap , untuk kebersihan tempat tidur ( bantal , selimut dan seprai ) tolong diperhatikan . karena lumayan kotor .| opini : <extra_id_0>",<extra_id_0> lengkap ; <extra_id_1> diperhatikan ; <extra_id_2> lumayan kotor,o
kamar panas . lantai kamar kotor peralatan housekeping di letak di lorong hotel .| opini : <extra_id_0>,<extra_id_0> panas ; <extra_id_1> kotor,o
pelayanan cek in lama .| opini : <extra_id_0>,<extra_id_0> lama,o
